rounds,coop1,coop2,final1,final2,min_round,max_round,filename,coop_rate1,coop_rate2
200,1.0,0.0,199,204,1,200,vs_00e26124_240.parquet,0.005,0.0
200,200.0,200.0,600,600,1,200,vs_012f63d4_836.parquet,1.0,1.0
200,0.0,1.0,204,199,1,200,vs_0131b4f8_174.parquet,0.0,0.005
200,194.0,195.0,593,588,1,200,vs_013e152d_282.parquet,0.97,0.975
200,40.0,41.0,323,318,1,200,vs_0189f7b9_344.parquet,0.2,0.205
200,0.0,1.0,204,199,1,200,vs_01a2dbee_741.parquet,0.0,0.005
200,200.0,200.0,600,600,1,200,vs_023264bb_151.parquet,1.0,1.0
200,0.0,0.0,200,200,1,200,vs_02b1fde0_691.parquet,0.0,0.0
200,24.0,0.0,176,296,1,200,vs_03096881_299.parquet,0.12,0.0
200,92.0,0.0,108,568,1,200,vs_033ae460_677.parquet,0.46,0.0
